Waste Management Inc.	    Ticker = 	WM
General Dynamics Corporation	    Ticker = 	GD
Marathon Petroleum Corporation	    Ticker = 	MPC
BB&T Corporation	    Ticker = 	BBT
Bank of New York Mellon Corporation	    Ticker = 	BK
Sysco Corporation	    Ticker = 	SYY
Valero Energy Corporation	    Ticker = 	VLO
Analog Devices Inc.	    Ticker = 	ADI
Estee Lauder Companies Inc. Class A	    Ticker = 	EL
EOG Resources Inc.	    Ticker = 	EOG
Progressive Corporation	    Ticker = 	PGR
Humana Inc.	    Ticker = 	HUM
Dollar General Corporation	    Ticker = 	DG
Ross Stores Inc.	    Ticker = 	ROST
Dow Inc.	    Ticker = 	DOW
Baxter International Inc.	    Ticker = 	BAX
Lam Research Corporation	    Ticker = 	LRCX
Aflac Incorporated	    Ticker = 	AFL
Kinder Morgan Inc Class P	    Ticker = 	KMI
Sempra Energy	    Ticker = 	SRE
Advanced Micro Devices Inc.	    Ticker = 	AMD
FedEx Corporation	    Ticker = 	FDX
MetLife Inc.	    Ticker = 	MET
Eaton Corp. Plc	    Ticker = 	ETN
Prudential Financial Inc.	    Ticker = 	PRU
Marriott International Inc. Class A	    Ticker = 	MAR
HCA Healthcare Inc	    Ticker = 	HCA
Roper Technologies Inc.	    Ticker = 	ROP
Occidental Petroleum Corporation	    Ticker = 	OXY
Allstate Corporation	    Ticker = 	ALL
Johnson Controls International plc	    Ticker = 	JCI
Moody's Corporation	    Ticker = 	MCO
Ford Motor Company	    Ticker = 	F
Travelers Companies Inc.	    Ticker = 	TRV
Cognizant Technology Solutions Corporation Class A	    Ticker = 	CTSH
Welltower Inc.	    Ticker = 	WELL
O'Reilly Automotive Inc.	    Ticker = 	ORLY
Delta Air Lines Inc.	    Ticker = 	DAL
Autodesk Inc.	    Ticker = 	ADSK
Constellation Brands Inc. Class A	    Ticker = 	STZ
Xcel Energy Inc.	    Ticker = 	XEL
Public Storage	    Ticker = 	PSA
Ingersoll-Rand Plc	    Ticker = 	IR
TE Connectivity Ltd.	    Ticker = 	TEL
SunTrust Banks Inc.	    Ticker = 	STI
General Mills Inc.	    Ticker = 	GIS
Public Service Enterprise Group Inc	    Ticker = 	PEG
Newmont Goldcorp Corporation	    Ticker = 	NEM
Amphenol Corporation Class A	    Ticker = 	APH
PPG Industries Inc.	    Ticker = 	PPG
Yum! Brands Inc.	    Ticker = 	YUM
Equity Residential	    Ticker = 	EQR
AvalonBay Communities Inc.	    Ticker = 	AVB
Consolidated Edison Inc.	    Ticker = 	ED
Zimmer Biomet Holdings Inc.	    Ticker = 	ZBH
ONEOK Inc.	    Ticker = 	OKE
Electronic Arts Inc.	    Ticker = 	EA
HP Inc.	    Ticker = 	HPQ
Cummins Inc.	    Ticker = 	CMI
WEC Energy Group Inc	    Ticker = 	WEC
Hilton Worldwide Holdings Inc	    Ticker = 	HLT
AutoZone Inc.	    Ticker = 	AZO
T. Rowe Price Group	    Ticker = 	TROW
eBay Inc.	    Ticker = 	EBAY
Southwest Airlines Co.	    Ticker = 	LUV
V.F. Corporation	    Ticker = 	VFC
IHS Markit Ltd.	    Ticker = 	INFO
KLA Corporation	    Ticker = 	KLAC
PACCAR Inc	    Ticker = 	PCAR
Williams Companies Inc.	    Ticker = 	WMB
Dollar Tree Inc.	    Ticker = 	DLTR
TransDigm Group Incorporated	    Ticker = 	TDG
Discover Financial Services	    Ticker = 	DFS
State Street Corporation	    Ticker = 	STT
Paychex Inc.	    Ticker = 	PAYX
Eversource Energy	    Ticker = 	ES
Motorola Solutions Inc.	    Ticker = 	MSI
SBA Communications Corp. Class A	    Ticker = 	SBAC
Regeneron Pharmaceuticals Inc.	    Ticker = 	REGN
T-Mobile US Inc.	    Ticker = 	TMUS
Parker-Hannifin Corporation	    Ticker = 	PH
FirstEnergy Corp.	    Ticker = 	FE
Digital Realty Trust Inc.	    Ticker = 	DLR
FleetCor Technologies Inc.	    Ticker = 	FLT
